method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images
dp,0.1,40,cnn,0.01793329999782145,0.4052512000052957,2.1073518000048352,0.09218089999922086,0.1594,0.1825,0.02310000000000001,400
dp,0.5,40,cnn,0.02504110000154469,0.3072894000069937,2.107022500000312,0.09237220000068191,0.2125,0.2575,0.04500000000000001,400
dp,1.0,40,cnn,0.02201450000575278,0.2864219999901252,1.9782751000020653,0.08469649999460671,0.1953,0.2375,0.04219999999999999,400
gan_dp,0.1,40,cnn,8.874907000004896,0.30413319999934174,2.0978137999918545,0.09425349999219179,0.1007,0.135,0.03430000000000001,400
gan_dp,0.5,40,cnn,9.378633900007117,0.3133233999978984,2.187810300005367,0.10326869999698829,0.0963,0.1025,0.006199999999999997,400
gan_dp,1.0,40,cnn,12.941136000008555,0.27508220000891015,2.633194599999115,0.09526170000026468,0.1002,0.11,0.009800000000000003,400
distill_dp,0.1,40,cnn,0.09454000000550877,0.3971406999917235,2.9346243999898434,0.12145750000490807,0.2058,0.3,0.09419999999999998,400
distill_dp,0.5,40,cnn,0.09782159999303985,0.38585130000137724,2.6191584000043804,0.09552020000410266,0.2156,0.5,0.2844,400
distill_dp,1.0,40,cnn,0.09355120001418982,0.4660740999970585,7.619443500007037,0.24559289999888279,0.2178,0.5225,0.30469999999999997,400
diffusion_dp,0.1,40,cnn,0.5082920999993803,0.7410700000036741,5.502903399989009,0.16436339999199845,0.1928,0.235,0.04219999999999999,400
diffusion_dp,0.5,40,cnn,0.38852829999814276,0.43974850000813603,3.7611312000080943,0.16268410001066513,0.2056,0.255,0.0494,400
diffusion_dp,1.0,40,cnn,0.43908089998876676,1.3146214000007603,5.721410499987542,0.31719269999302924,0.1953,0.29,0.09469999999999998,400
dp,0.1,80,cnn,0.10390980000374839,1.4436831000057282,3.1293352999928175,0.21118939999723807,0.1558,0.175,0.019199999999999995,800
dp,0.5,80,cnn,0.039717499996186234,0.9737721000128658,2.7403924000100233,0.20317090000025928,0.248,0.255,0.007000000000000006,800
dp,1.0,80,cnn,0.039470499992603436,1.4516989999974612,3.3482899999944493,0.28573689999757335,0.2366,0.275,0.03840000000000002,800
gan_dp,0.1,80,cnn,11.850995899992995,0.9284324000036577,3.280251499993028,0.2025078000006033,0.1038,0.1,-0.003799999999999998,800
gan_dp,0.5,80,cnn,12.460781900008442,0.8865342999924906,6.319677899999078,0.4025904000009177,0.0907,0.1,0.009300000000000003,800
gan_dp,1.0,80,cnn,11.376877700007753,0.46368109999457374,2.262312999999267,0.19300030000158586,0.0997,0.1,0.0003000000000000086,800
distill_dp,0.1,80,cnn,0.10994899999059271,0.6424050000059651,2.516970800003037,0.20048420000239275,0.2513,0.685,0.43370000000000003,800
distill_dp,0.5,80,cnn,0.11154110000643414,0.6510916000115685,2.28583379999327,0.18788219999987632,0.2166,0.9,0.6834,800
distill_dp,1.0,80,cnn,0.10961410000163596,0.6100960000039777,2.3630414999934146,0.20743209999636747,0.2113,0.7,0.48869999999999997,800
diffusion_dp,0.1,80,cnn,0.6785326999961399,0.6068577999976696,2.3067055999999866,0.19350890000350773,0.2921,0.34375,0.051649999999999974,800
diffusion_dp,0.5,80,cnn,0.7232515000068815,0.6287792000075569,2.4522704999981215,0.20558059999893885,0.2106,0.25125,0.040649999999999964,800
diffusion_dp,1.0,80,cnn,0.6950952999904985,0.6150481999939075,2.793206000002101,0.3093996999959927,0.2739,0.32625,0.05235000000000001,800
dp,0.1,160,cnn,0.08764470000460278,1.126500099999248,2.582013699997333,0.45837069999834057,0.1183,0.101875,-0.01642500000000001,1600
dp,0.5,160,cnn,0.07043919998977799,0.9359216000011656,2.543319000003976,0.40325850000954233,0.273,0.2775,0.004500000000000004,1600
dp,1.0,160,cnn,0.0734290999971563,1.5210296000004746,2.375430200001574,0.388433600004646,0.2958,0.32,0.0242,1600
gan_dp,0.1,160,cnn,12.914127500000177,0.9224112999945646,2.8513478000095347,0.5996443000040017,0.0999,0.1,0.00010000000000000286,1600
gan_dp,0.5,160,cnn,10.85921129999042,1.1009693000087282,2.9309465999976965,0.38787190000584815,0.0991,0.13125,0.03215000000000001,1600
gan_dp,1.0,160,cnn,10.356434800007264,0.9978394000063417,3.2635210000007646,0.5474833000043873,0.131,0.1,-0.031,1600
distill_dp,0.1,160,cnn,0.15227560000494123,1.9006625000038184,4.296694900011062,0.5518643999967026,0.2439,0.999375,0.755475,1600
distill_dp,0.5,160,cnn,0.20870730000024196,1.0954691000079038,4.301259100000607,0.5685728999960702,0.2248,1.0,0.7752,1600
distill_dp,1.0,160,cnn,0.1835762000118848,2.728888100013137,3.7774842999933753,0.7775155000126688,0.2146,0.9,0.6854,1600
diffusion_dp,0.1,160,cnn,1.5678123999969102,1.0602398999908473,3.1013043000129983,0.5258352999953786,0.3006,0.314375,0.013775000000000037,1600
diffusion_dp,0.5,160,cnn,1.7773495000001276,1.7004850000084843,2.728776799995103,0.375,0.3188,0.36125,0.04245000000000004,1600
diffusion_dp,1.0,160,cnn,1.3103788000007626,0.8491606999887154,2.471942100004526,0.5595133000024362,0.2987,0.326875,0.028175000000000006,1600
