method,epsilon,ssim,psnr
diffusion_dp,0.1,0.6506737669308981,16.251810792047852
distill_dp,0.1,0.10732166990637779,10.347468680317146
dp,0.1,0.14303851947188378,5.80548847301207
gan_dp,0.1,0.05071987261374791,5.031739154709481
diffusion_dp,0.5,0.9102544784545898,30.064434658324405
distill_dp,0.5,0.46496064960956573,19.54757292278508
dp,0.5,0.5295043468475342,12.851133266481089
gan_dp,0.5,0.08502803693215052,11.39750107222974
diffusion_dp,1.0,0.9734276970227559,37.134842546618685
distill_dp,1.0,0.5334163427352905,19.6297744767862
dp,1.0,0.7613891800244649,20.046166805279984
gan_dp,1.0,0.1212999274333318,16.294740348111812
