method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images,epochs,repeat
dp,0.1,40,resnet20,0.0130748999999923,11.013022800001636,6.516835999998875,0.253542299999026,0.1082,0.815,400,10,1
dp,0.5,40,resnet20,0.0225516999998944,10.668514200000573,6.392142400000012,0.2400195999998686,0.1658,0.5775,400,10,1
dp,1.0,40,resnet20,0.0246706000016274,10.596850100000664,6.127592599999844,0.283950699998968,0.2012,0.3075,400,10,1
diffusion_dp,0.1,40,resnet20,0.3577705999996396,10.72413360000064,5.908465000000433,0.2304037000012613,0.1592,0.4675,400,10,1
diffusion_dp,0.5,40,resnet20,0.2940978000005998,10.804298899998685,6.0278635999984544,0.2302736999990884,0.2092,0.305,400,10,1
diffusion_dp,1.0,40,resnet20,0.3645973999991838,10.47403679999843,6.076097000001028,0.2617175999985193,0.1886,0.47,400,10,1
dp,0.1,80,resnet20,0.0392601000003196,21.67073679999885,6.875026500001695,0.5388984000001074,0.0928,1.0,800,10,1
dp,0.5,80,resnet20,0.0454948999995394,20.581907499999943,6.392166499999803,0.4602011999995739,0.1881,0.5125,800,10,1
dp,1.0,80,resnet20,0.0388235000009444,18.51157190000049,5.813869699999486,0.5321421000007831,0.2545,0.77,800,10,1
diffusion_dp,0.1,80,resnet20,0.6670444999999745,21.33980589999919,6.749617899999066,0.5456622999990941,0.2365,0.675,800,10,1
diffusion_dp,0.5,80,resnet20,0.6439011999991635,20.168321900000592,5.980724799999734,0.4628642000006948,0.3207,0.8575,800,10,1
diffusion_dp,1.0,80,resnet20,0.6150145000010525,21.808939100001226,6.131056099999114,0.4867742000005819,0.1928,0.43,800,10,1
dp,0.1,160,resnet20,0.0722280999998474,41.12085280000065,6.338501700000052,0.9648674000000028,0.1273,0.999375,1600,10,1
dp,0.5,160,resnet20,0.0698388999990129,42.968421300000045,6.854986700000154,1.1403700999999271,0.2341,0.5475,1600,10,1
dp,1.0,160,resnet20,0.0701855000006617,42.25400190000073,6.567367400000876,1.112380099999427,0.3402,0.87625,1600,10,1
diffusion_dp,0.1,160,resnet20,1.1384336999999505,42.09748630000104,5.670496700000513,0.9430640999999014,0.35,0.9175,1600,10,1
diffusion_dp,0.5,160,resnet20,1.0825330000006943,41.44808660000126,5.845474199999444,1.118022499998915,0.273,0.52875,1600,10,1
diffusion_dp,1.0,160,resnet20,1.2871734999989712,46.840159600000334,6.316337300000669,0.9298952000008284,0.3265,0.614375,1600,10,1
dp,0.1,40,resnet20,0.0129008999992947,11.597150199999303,6.73074540000016,0.265158700000029,0.0906,0.935,400,10,2
dp,0.5,40,resnet20,0.0258233999993535,9.397885999998834,5.422493500000201,0.2232200999987981,0.1716,0.6425,400,10,2
dp,1.0,40,resnet20,0.0233186000004934,9.686094600001525,6.287986799999999,0.250776599999881,0.2132,0.6775,400,10,2
diffusion_dp,0.1,40,resnet20,0.3271074999993288,9.064000899999884,5.801669000000402,0.2443059999986871,0.2056,0.7525,400,10,2
diffusion_dp,0.5,40,resnet20,0.284224400000312,10.462641599999188,5.991028500000539,0.2398590999982843,0.2864,0.615,400,10,2
diffusion_dp,1.0,40,resnet20,0.3188806000016484,9.904231599999548,5.769170799998392,0.2424592999996093,0.2198,0.4475,400,10,2
dp,0.1,80,resnet20,0.0411133000015979,18.774847699998645,6.463912800001708,0.4941314000025159,0.1302,0.99875,800,10,2
dp,0.5,80,resnet20,0.0425251000015123,19.20651100000032,5.806784600001265,0.4668152999984158,0.2159,0.9475,800,10,2
dp,1.0,80,resnet20,0.0372611000020697,19.1086679,5.380971899998258,0.4699379000012413,0.289,0.7575,800,10,2
diffusion_dp,0.1,80,resnet20,0.5645468000002438,18.304574499998125,5.938529999999446,0.4998558000006596,0.2018,0.6525,800,10,2
diffusion_dp,0.5,80,resnet20,0.6113622999982908,17.91644290000113,5.653363899997203,0.4612979000012274,0.2021,0.365,800,10,2
diffusion_dp,1.0,80,resnet20,0.5724040000022796,19.443797200001427,5.776927400002023,0.4942158000012568,0.3013,0.68875,800,10,2
dp,0.1,160,resnet20,0.0676783000017167,36.81699369999842,5.424985100002232,0.8831673999993654,0.1082,0.996875,1600,10,2
dp,0.5,160,resnet20,0.0585935999988578,38.601077900002565,5.6896978999975545,0.9565761999983806,0.2163,0.949375,1600,10,2
dp,1.0,160,resnet20,0.0697021000014501,37.3407294000026,5.969666499997402,0.8805904000000737,0.2996,0.713125,1600,10,2
diffusion_dp,0.1,160,resnet20,1.0684557999993558,37.722698699999455,6.076877399998921,0.9235045999994328,0.3024,0.875,1600,10,2
diffusion_dp,0.5,160,resnet20,1.0269998000003395,38.07393199999933,5.697066100001393,0.9124943999995594,0.3365,0.62875,1600,10,2
diffusion_dp,1.0,160,resnet20,1.043930199997703,38.74593989999994,5.924354800001311,0.9817029000005276,0.3525,0.731875,1600,10,2
dp,0.1,40,resnet20,0.0127797999994072,10.267135800000688,5.910366800002521,0.2534808000018529,0.1154,0.9025,400,10,3
dp,0.5,40,resnet20,0.0177025000011781,8.860703199999989,5.389364700000442,0.2275219000002835,0.2056,0.585,400,10,3
dp,1.0,40,resnet20,0.0190657999992254,9.108180399998671,6.039390699999785,0.2437931000022217,0.1859,0.315,400,10,3
diffusion_dp,0.1,40,resnet20,0.3595894999998563,10.563055099999474,6.334765100000368,0.285036699999182,0.1412,0.3025,400,10,3
diffusion_dp,0.5,40,resnet20,0.3296568000005209,8.983063699997729,6.439802000000782,0.2381157000017992,0.2389,0.5225,400,10,3
