method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.017993099998420803,29.716526399999566,13.548813599998539,0.4208230999975058,0.1009,0.8275,400
dp,0.5,40,resnet20,0.023351399999228306,39.408749700000044,12.847233500000584,0.7050745000015013,0.2315,0.895,400
dp,1.0,40,resnet20,0.060921399999642745,48.99890140000207,9.82883479999873,0.31700890000138315,0.1585,0.5975,400
diffusion_dp,0.1,40,resnet20,0.36358760000075563,46.805228199998965,19.90709060000154,1.4984919999988051,0.2308,0.8775,400
diffusion_dp,0.5,40,resnet20,0.7087630000023637,52.349392300002364,14.299077899999247,0.5703234000029624,0.2952,0.92,400
diffusion_dp,1.0,40,resnet20,0.5196391999998013,43.54060099999697,14.223610400000325,0.70853519999946,0.3061,0.8275,400
dp,0.1,80,resnet20,0.072265899998456,100.12311799999952,14.952918899998622,1.0702353999986371,0.1157,1.0,800
dp,0.5,80,resnet20,0.06148450000182493,94.81214539999928,14.566346599996905,0.8659152000000176,0.2464,0.99125,800
dp,1.0,80,resnet20,0.04764110000178334,66.62529180000274,9.78598509999938,0.769017900001927,0.3427,0.99875,800
diffusion_dp,0.1,80,resnet20,0.6743915999977617,76.69916190000004,10.64883959999861,0.8322533999998996,0.3115,1.0,800
diffusion_dp,0.5,80,resnet20,0.69003850000081,73.04181669999889,12.380359200000385,1.0598394999979064,0.3121,1.0,800
diffusion_dp,1.0,80,resnet20,0.7456125999997312,72.23766429999887,16.039146499999333,1.4578637999984494,0.316,0.9275,800
dp,0.1,160,resnet20,0.14714530000128434,172.50964340000064,11.75962029999937,1.8966306000002078,0.1084,1.0,1600
dp,0.5,160,resnet20,0.09065190000183065,153.57522000000245,11.99058679999871,2.058306300001277,0.3386,0.99125,1600
dp,1.0,160,resnet20,0.08046749999994063,136.26504190000196,14.064280299997336,2.958328299999266,0.3417,0.98875,1600
diffusion_dp,0.1,160,resnet20,1.5007511999974668,184.18215699999928,15.269614700002421,2.5483152000015252,0.3543,0.998125,1600
diffusion_dp,0.5,160,resnet20,2.0633071000011114,167.44727540000167,12.522576499999559,2.258778200000961,0.3623,0.895,1600
diffusion_dp,1.0,160,resnet20,1.7816378999996232,225.8305438000025,16.109333500000503,3.3526364999997895,0.3962,0.989375,1600
