method,epsilon,per_class,ssim,psnr,file
diffusion_dp,0.1,160,0.454153448343277,11.996547360398903,diffusion_dp_eps_0.1_k_160.png
diffusion_dp,0.1,160,0.8745954632759094,20.715060866347898,diffusion_dp_eps_0.1_k_160.png
diffusion_dp,0.1,160,0.5797834992408752,16.796546785411145,diffusion_dp_eps_0.1_k_160.png
diffusion_dp,0.1,160,0.7104344367980957,17.216217181066536,diffusion_dp_eps_0.1_k_160.png
diffusion_dp,0.1,160,0.6756224036216736,18.196077267984563,diffusion_dp_eps_0.1_k_160.png
diffusion_dp,0.1,40,0.731935977935791,17.369656712709865,diffusion_dp_eps_0.1_k_40.png
diffusion_dp,0.1,40,0.5621098875999451,16.265286263103704,diffusion_dp_eps_0.1_k_40.png
diffusion_dp,0.1,40,0.6267098784446716,19.59382838368388,diffusion_dp_eps_0.1_k_40.png
diffusion_dp,0.1,40,0.6468001008033752,15.855180722034774,diffusion_dp_eps_0.1_k_40.png
diffusion_dp,0.1,40,0.7970986366271973,18.432153231861637,diffusion_dp_eps_0.1_k_40.png
diffusion_dp,0.1,80,0.8100419640541077,19.910739341928277,diffusion_dp_eps_0.1_k_80.png
diffusion_dp,0.1,80,0.25161656737327576,5.1491163993853375,diffusion_dp_eps_0.1_k_80.png
diffusion_dp,0.1,80,0.7076840996742249,16.26912788223174,diffusion_dp_eps_0.1_k_80.png
diffusion_dp,0.1,80,0.4601386785507202,8.746382343130248,diffusion_dp_eps_0.1_k_80.png
diffusion_dp,0.1,80,0.8713814616203308,21.265241139439247,diffusion_dp_eps_0.1_k_80.png
diffusion_dp,0.5,160,0.9250779151916504,29.548733984570074,diffusion_dp_eps_0.5_k_160.png
diffusion_dp,0.5,160,0.9545881748199463,29.417030853002824,diffusion_dp_eps_0.5_k_160.png
diffusion_dp,0.5,160,0.9518933892250061,31.55894790965742,diffusion_dp_eps_0.5_k_160.png
diffusion_dp,0.5,160,0.9446071982383728,29.03270386305018,diffusion_dp_eps_0.5_k_160.png
diffusion_dp,0.5,160,0.8098819851875305,26.934866861784887,diffusion_dp_eps_0.5_k_160.png
diffusion_dp,0.5,40,0.9326798915863037,29.463626451414452,diffusion_dp_eps_0.5_k_40.png
diffusion_dp,0.5,40,0.9340922832489014,29.71426698353629,diffusion_dp_eps_0.5_k_40.png
diffusion_dp,0.5,40,0.8464967608451843,26.704708935138292,diffusion_dp_eps_0.5_k_40.png
