method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,pred_seconds,val_acc,synthetic_images
dp,0.1,40,resnet20,0.07074020000072778,7.04849109999941,44.59328930000083,0.1025,400
dp,0.5,40,resnet20,0.030239000000619853,6.9805201999997735,26.873855900000308,0.1424,400
dp,1.0,40,resnet20,0.10916629999974248,3.3131296000001385,24.552963600000112,0.1228,400
gan_dp,0.1,40,resnet20,22.10588480000024,3.3588423000001058,25.456978100000015,0.1003,400
gan_dp,0.5,40,resnet20,25.820430200000374,4.69394629999988,26.66318659999979,0.1026,400
gan_dp,1.0,40,resnet20,26.843772199999876,4.724454899999728,24.412557300000117,0.105,400
distill_dp,0.1,40,resnet20,0.23519599999963248,2.8002920999997514,20.988986600000317,0.1115,400
distill_dp,0.5,40,resnet20,0.2942843000000721,2.834919599999921,24.1231686000001,0.0987,400
distill_dp,1.0,40,resnet20,0.3390994999999748,3.673297399999683,40.340325799999846,0.0964,400
diffusion_dp,0.1,40,resnet20,0.6977201999998215,4.786284099999648,39.18293050000011,0.0994,400
diffusion_dp,0.5,40,resnet20,0.8324799000001804,3.2248789999994187,45.222439699999995,0.1002,400
diffusion_dp,1.0,40,resnet20,0.6087020000004486,8.099497399999564,51.058524000000034,0.1096,400
