method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.012501999999585678,5.309218700000201,7.167040399999678,0.29222680000020773,0.0967,0.1,400
dp,0.5,40,resnet20,0.019888800001353957,5.339748899999904,7.305802400000175,0.3041011000004801,0.0979,0.1025,400
dp,1.0,40,resnet20,0.02503190000061295,5.629236700000547,6.387846600000557,0.27859820000048785,0.1361,0.14,400
diffusion_dp,0.1,40,resnet20,0.37189849999958824,5.248334600000817,6.441730799999277,0.2566208000007464,0.1034,0.1,400
diffusion_dp,0.5,40,resnet20,0.3012737000008201,5.523020599999654,6.0720657000001665,0.2347074999997858,0.1783,0.2025,400
diffusion_dp,1.0,40,resnet20,0.308183299999655,4.73683820000042,6.617774999998801,0.24569000000155938,0.1104,0.12,400
dp,0.1,80,resnet20,0.04991809999955876,9.447187499999927,6.012358399999357,0.44672650000029535,0.0997,0.235,800
dp,0.5,80,resnet20,0.03596730000026582,10.306379100000413,5.852246800001012,0.45303619999867806,0.1989,0.38,800
dp,1.0,80,resnet20,0.03659220000008645,10.101670000000013,5.845928400000048,0.4647813000010501,0.1636,0.21375,800
diffusion_dp,0.1,80,resnet20,0.5895763000007719,10.606514699999025,6.188673299999209,0.5614912999990338,0.2079,0.25125,800
diffusion_dp,0.5,80,resnet20,0.6693743000014365,10.30285670000012,6.828597199999422,0.5401497000002564,0.2006,0.2275,800
diffusion_dp,1.0,80,resnet20,0.5910242999998445,10.312389900000198,6.005328799999916,0.480106999999407,0.229,0.295,800
dp,0.1,160,resnet20,0.07689169999866863,21.46355989999938,6.9988978000001225,1.0884733000002598,0.1033,0.65,1600
dp,0.5,160,resnet20,0.07753090000005614,20.69102650000059,6.434109900001204,0.945973399999275,0.2364,0.5525,1600
dp,1.0,160,resnet20,0.06447649999972782,21.720068900000115,6.469071800000165,0.9367954999997892,0.3945,0.568125,1600
diffusion_dp,0.1,160,resnet20,1.0638426999994408,17.97543399999995,5.702543299999888,0.9331180999997741,0.2676,0.445625,1600
diffusion_dp,0.5,160,resnet20,1.04421419999926,19.66660150000098,5.609538000000612,0.86559970000053,0.3621,0.44875,1600
diffusion_dp,1.0,160,resnet20,1.0459310999995068,21.518152900000132,6.30204330000015,0.9028499000014563,0.319,0.380625,1600
