method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images,synthetic_train_images,synthetic_eval_images
dp,0.1,160,cnn,0.07020199999988108,1.9324345000004541,1.3357692999998108,0.04007689999980357,0.664,0.75625,0.09224999999999994,1600,1280,320
dp,0.1,160,resnet20,0.07020199999988108,9.170933000000332,4.257479699999749,0.17627159999938158,0.099,0.209375,0.110375,1600,1280,320
dp,0.5,160,cnn,0.06319069999972271,2.603908899999624,2.188088799999605,0.061077499999555585,0.8665,0.878125,0.011624999999999996,1600,1280,320
dp,0.5,160,resnet20,0.06319069999972271,14.84521659999973,6.646968199999719,0.18670190000011644,0.866,0.903125,0.037124999999999964,1600,1280,320
dp,1.0,160,cnn,0.06319819999953324,2.3585860000002867,2.18430570000055,0.057929600000534265,0.8826666666666667,0.878125,-0.004541666666666666,1600,1280,320
dp,1.0,160,resnet20,0.06319819999953324,14.481839999999465,6.6345776999996815,0.18810969999958616,0.9085,0.934375,0.02587499999999998,1600,1280,320
gan_dp,0.1,160,cnn,8.247319099999913,3.9351556999999957,2.5498451000003115,0.07507710000027146,0.08633333333333333,0.1375,0.05116666666666668,1600,1280,320
gan_dp,0.1,160,resnet20,8.247319099999913,20.618329500000073,9.243998300000385,0.2704075000001467,0.057,0.103125,0.04612499999999999,1600,1280,320
gan_dp,0.5,160,cnn,10.305752000000211,3.818695199999638,2.560139700000036,0.08040799999980663,0.10133333333333333,0.1,-0.0013333333333333253,1600,1280,320
gan_dp,0.5,160,resnet20,10.305752000000211,20.24838869999985,8.847560600000179,0.27226840000002994,0.11691666666666667,0.096875,-0.020041666666666666,1600,1280,320
gan_dp,1.0,160,cnn,10.760219499999948,3.7735189999993963,2.698388199999499,0.07766160000028322,0.09775,0.109375,0.011624999999999996,1600,1280,320
gan_dp,1.0,160,resnet20,10.760219499999948,20.546757900000557,9.175341099999969,0.2685676000000967,0.10375,0.109375,0.005625000000000005,1600,1280,320
distill_dp,0.1,160,cnn,0.17160010000043258,3.6143027999996775,2.599634299999707,0.07619569999951636,0.71975,1.0,0.28025,1600,1280,320
distill_dp,0.1,160,resnet20,0.17160010000043258,20.920341500000177,9.052446900000177,0.2576981000001979,0.34991666666666665,1.0,0.6500833333333333,1600,1280,320
distill_dp,0.5,160,cnn,0.15804320000006555,3.9821788999997807,3.2420495999995183,0.07455130000016652,0.7196666666666667,1.0,0.2803333333333333,1600,1280,320
distill_dp,0.5,160,resnet20,0.15804320000006555,23.037707800000135,18.705028700000184,0.6712995999996565,0.18858333333333333,1.0,0.8114166666666667,1600,1280,320
distill_dp,1.0,160,cnn,0.3459421999996266,6.471134600000369,4.1187245000000985,0.11070650000056048,0.7104166666666667,1.0,0.2895833333333333,1600,1280,320
distill_dp,1.0,160,resnet20,0.3459421999996266,21.193935999999667,9.699037400000634,0.2928151000005528,0.2689166666666667,1.0,0.7310833333333333,1600,1280,320
diffusion_dp,0.1,160,cnn,1.3367256000001362,3.611306300000251,2.9662599000002956,0.07520229999954609,0.8836666666666667,0.921875,0.03820833333333329,1600,1280,320
diffusion_dp,0.1,160,resnet20,1.3367256000001362,22.76669630000015,10.458401400000184,0.2856818000000203,0.9065,0.9375,0.031000000000000028,1600,1280,320
diffusion_dp,0.5,160,cnn,1.33659710000029,3.837262699999883,2.846002100000078,0.08375729999988835,0.8795,0.9,0.020500000000000074,1600,1280,320
diffusion_dp,0.5,160,resnet20,1.33659710000029,21.850023500000134,10.15220120000049,0.26906530000087514,0.8846666666666667,0.88125,-0.0034166666666667345,1600,1280,320
diffusion_dp,1.0,160,cnn,1.3296411000001171,3.6894735999994737,2.797455899999477,0.07691410000006726,0.905,0.909375,0.004375000000000018,1600,1280,320
diffusion_dp,1.0,160,resnet20,1.3296411000001171,21.960681300000033,10.026336299999457,0.2766703999996025,0.8489166666666667,0.846875,-0.0020416666666666083,1600,1280,320
dp,0.1,320,cnn,0.13887109999996028,7.611658899999384,3.430139999999483,0.2790330999996513,0.7168333333333333,0.7921875,0.07535416666666672,3200,2560,640
dp,0.1,320,resnet20,0.13887109999996028,60.2947322,13.11960209999961,0.601419800000258,0.8979166666666667,0.9015625,0.003645833333333348,3200,2560,640
dp,0.5,320,cnn,0.16343210000013642,11.352105500000107,5.5694321000000855,0.4516794999999547,0.92725,0.9453125,0.01806249999999998,3200,2560,640
dp,0.5,320,resnet20,0.16343210000013642,49.59057539999958,9.873787400000765,0.5365419999998267,0.9635,0.9734375,0.009937499999999932,3200,2560,640
dp,1.0,320,cnn,0.13622439999926428,7.6275947000003725,2.613115599999219,0.14725260000068374,0.9358333333333333,0.9265625,-0.00927083333333334,3200,2560,640
dp,1.0,320,resnet20,0.13622439999926428,51.37141859999974,18.375153699999828,0.7093998000000283,0.9525,0.9609375,0.008437499999999987,3200,2560,640
gan_dp,0.1,320,cnn,14.435973399999966,7.477805100000296,2.719155199999477,0.15487750000011147,0.09966666666666667,0.0953125,-0.004354166666666673,3200,2560,640
gan_dp,0.1,320,resnet20,14.435973399999966,41.05585400000018,9.621124299999792,0.5218239999994694,0.11408333333333333,0.1046875,-0.009395833333333325,3200,2560,640
gan_dp,0.5,320,cnn,10.705264599999282,7.7292091999997865,2.645772599999873,0.15376759999981005,0.1355,0.09375,-0.04175000000000001,3200,2560,640
