method,epsilon,ssim,psnr
diffusion_dp,0.1,0.513425505409638,7.503833162835908
distill_dp,0.1,0.3548334625860055,7.4500847950293165
dp,0.1,0.38686191228528816,6.210490394553076
gan_dp,0.1,0.32228283025324345,5.513837448599799
diffusion_dp,0.5,0.5039395081500212,7.751818963009477
distill_dp,0.5,0.49579987426598865,7.63718926730833
dp,0.5,0.5011900017658869,7.57361188156631
gan_dp,0.5,0.3385797590017319,7.113708079288462
diffusion_dp,1.0,0.5582071008781592,7.858786712963368
distill_dp,1.0,0.5108895575006803,7.597999575099917
dp,1.0,0.5120619932810465,7.468748418949985
gan_dp,1.0,0.35219714293877286,7.375067398078392
