method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images
dp,0.1,40,cnn,0.009058000003278721,0.35801279999577673,1.2743360000022221,0.05388529999618186,0.1798,0.2125,0.03270000000000001,400
dp,0.1,40,resnet20,0.009058000003278721,1.2646591999946395,3.6589384999970207,0.1521467999991728,0.1035,0.1,-0.0034999999999999892,400
dp,0.5,40,cnn,0.011307499997201376,0.3020249999972293,1.1725531999982195,0.048579700000118464,0.237,0.3075,0.07050000000000001,400
dp,0.5,40,resnet20,0.011307499997201376,1.1914569000000483,3.6463772000061,0.14455249999446096,0.1001,0.095,-0.005099999999999993,400
dp,1.0,40,cnn,0.011145299999043345,0.31118570000398904,1.869026300002588,0.08366709999972954,0.2427,0.34,0.09730000000000003,400
dp,1.0,40,resnet20,0.011145299999043345,2.046941100001277,6.574808999997913,0.31888330000219867,0.1081,0.1075,-0.0006000000000000033,400
gan_dp,0.1,40,cnn,8.18362860000343,0.554359800000384,1.6639534999994794,0.07159950000641402,0.1035,0.1,-0.0034999999999999892,400
gan_dp,0.1,40,resnet20,8.18362860000343,1.7050466000000597,6.8006735000017215,0.26520780000282684,0.1035,0.1,-0.0034999999999999892,400
gan_dp,0.5,40,cnn,10.247098599997116,0.8873506000018097,2.230682400004298,0.08830900000612019,0.1011,0.105,0.0039000000000000007,400
gan_dp,0.5,40,resnet20,10.247098599997116,2.37877170000138,6.617439400004514,1.0830518000002485,0.0998,0.1,0.00020000000000000573,400
gan_dp,1.0,40,cnn,10.482625100004952,0.32045579999976326,2.251267599996936,0.26760079999803565,0.1031,0.175,0.07189999999999999,400
gan_dp,1.0,40,resnet20,10.482625100004952,2.3964597000012873,7.774616000002425,0.36148339999635937,0.0973,0.1,0.002700000000000008,400
distill_dp,0.1,40,cnn,0.08339949999935925,0.6063776000009966,2.898166899998614,0.11996450000151526,0.2332,0.83,0.5968,400
distill_dp,0.1,40,resnet20,0.08339949999935925,2.724193699999887,6.67454269999871,0.2396876999991946,0.1024,0.1,-0.0023999999999999994,400
