method,epsilon,per_class,epochs,original_acc_mean,original_acc_std,synthetic_acc_mean,synthetic_acc_std,train_seconds_mean,train_seconds_std,synthesis_seconds_mean,synthesis_seconds_std,runs
diffusion_dp,0.1,40,5,0.12513333333333335,0.024318991207147825,0.13749999999999998,0.041758232721225155,5.382547833334077,0.28062659930004435,0.390449433332833,0.027574711804745685,3
dp,0.1,40,5,0.10013333333333334,0.004554484969053401,0.11583333333333334,0.027424137786507215,5.38567856666729,0.3585436789776228,0.011733000000579766,0.0012881178165380256,3
diffusion_dp,0.5,40,5,0.151,0.031788834517798854,0.17833333333333334,0.03357206179747281,6.184965033333356,0.9076957210073111,0.325715933333413,0.041960327795406246,3
dp,0.5,40,5,0.13303333333333334,0.03725605096267362,0.14166666666666666,0.05535867893414124,5.26289866666654,0.2938327841613852,0.020605400000931636,0.0011466552709599547,3
diffusion_dp,1.0,40,5,0.11026666666666667,0.0038017539811688685,0.12416666666666666,0.009464847243000464,5.049456333333485,0.5745526700568204,0.34329059999981837,0.034908281748299054,3
dp,1.0,40,5,0.13506666666666667,0.010189373549602214,0.15333333333333335,0.012583057392117911,5.809818833333338,0.38314129580935957,0.029560366666676833,0.005940062939570341,3
diffusion_dp,0.1,40,10,0.16866666666666666,0.03322729801433354,0.5075,0.22765104875664416,10.117063199999999,0.9155281134688358,0.3481558666662749,0.01825109322238952,3
dp,0.1,40,10,0.10473333333333334,0.012758265294832736,0.8841666666666667,0.062065153937884816,10.959102933333876,0.6666446505200663,0.012918533332898066,0.0001483381388140197,3
diffusion_dp,0.5,40,10,0.24483333333333332,0.03894051018326972,0.4808333333333333,0.15914485016277888,10.083334733331867,0.9680545892439981,0.3026596666671442,0.0238957090929838,3
dp,0.5,40,10,0.18100000000000002,0.021500697663099203,0.6016666666666667,0.035560980488919765,9.642367799999798,0.9283715128274675,0.02202586666680867,0.0040859062294342175,3
diffusion_dp,1.0,40,10,0.22396666666666665,0.037623441274467886,0.4808333333333333,0.0398695790463523,10.417589933331934,0.4875915891035482,0.35367043333402154,0.03081531688440792,3
dp,1.0,40,10,0.20010000000000003,0.013683201379794126,0.43333333333333335,0.21148778530528267,9.797041700000287,0.7505107015723412,0.0223516666671154,0.0029248360330332156,3
diffusion_dp,0.1,40,20,0.2389,0.007773673520286275,0.8941666666666667,0.03329164059239695,42.38200316666674,10.06108370639352,0.366166499999963,0.004427094746655205,3
dp,0.1,40,20,0.11366666666666665,0.011209965804289198,0.935,0.09377499666755522,31.269822299999458,1.402417971957885,0.022951899999801132,0.006336068084984166,3
diffusion_dp,0.5,40,20,0.27466666666666667,0.027593900292153955,0.7358333333333333,0.1653846526535438,49.48479943333465,18.49476515127851,0.5323632333335505,0.1839192089350921,3
dp,0.5,40,20,0.2328,0.012700000000000008,0.915,0.05766281297335395,40.479629733332935,7.395609718818357,0.0231641999998828,0.0018100747842440977,3
diffusion_dp,1.0,40,20,0.2713333333333333,0.04605500334744677,0.7508333333333334,0.1482045320944448,42.187814999998714,4.022730825619411,0.5286484666673156,0.054580443020347216,3
dp,1.0,40,20,0.21620000000000003,0.04997269254302794,0.6575000000000001,0.19215878850575638,42.26745010000013,12.470269520431536,0.03873993333157457,0.01947419162934491,3
diffusion_dp,0.1,80,5,0.18466666666666667,0.022907276864204826,0.225,0.02564785566085397,10.879163599999933,0.796349426673963,0.613211366666898,0.029086440816470376,3
dp,0.1,80,5,0.1084,0.008245604889879214,0.4483333333333333,0.2623402291554487,9.858741100000165,0.37907141019728946,0.04307633333276797,0.006122293007051727,3
diffusion_dp,0.5,80,5,0.22056666666666666,0.018908287424654124,0.29375,0.05980436856952842,11.575802333332831,1.6552372164362334,0.6782384000004337,0.033521366244723974,3
dp,0.5,80,5,0.1837,0.013227622613304315,0.325,0.04957633003762984,10.449336566666412,0.4898248289556118,0.0461082333337496,0.011106849098859865,3
diffusion_dp,1.0,80,5,0.19426666666666667,0.035524826999344186,0.2529166666666667,0.046809676706139836,9.47667256666682,1.1682814595058324,0.5799530666657423,0.0404861471671938,3
dp,1.0,80,5,0.22266666666666668,0.05802941782693788,0.29416666666666663,0.08126281950149977,10.088832200000374,0.3662282954278115,0.0424628333330474,0.007639925969447332,3
diffusion_dp,0.1,80,10,0.24293333333333333,0.04469858312444961,0.7637499999999999,0.1735700506999983,20.12190613333223,1.603947111026468,0.6300022666661486,0.05685005274928131,3
dp,0.1,80,10,0.11476666666666667,0.01953722941804527,0.9995833333333334,0.0007216878364870088,20.40507223333164,1.4819653831471638,0.0396247333343732,0.0013438776597013207,3
diffusion_dp,0.5,80,10,0.28049999999999997,0.06790375541897516,0.61875,0.24659240154554649,21.885374766666548,5.051292562148599,0.9062764666662891,0.48290095193896054,3
dp,0.5,80,10,0.21743333333333334,0.030129277013120192,0.7995833333333332,0.2486599501997323,20.079455133333493,0.758865597407522,0.0433699666664324,0.0018530666510740443,3
diffusion_dp,1.0,80,10,0.2599,0.05863812752808536,0.5875,0.13824231443375073,26.05624546666695,9.478880581266088,0.6490692666672354,0.09822478309048442,3
dp,1.0,80,10,0.2545,0.03449999999999999,0.7283333333333334,0.061661035778953065,19.506294499999665,1.2422190343723223,0.03977516666721683,0.0031014116273892704,3
diffusion_dp,0.1,80,20,0.29686666666666667,0.014453488621552012,0.9595833333333333,0.0646666129724863,62.22228386666635,19.26842503886857,0.6908398333313622,0.06523963934356457,3
