method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images,synthetic_train_images,synthetic_eval_images
diffusion_dp,0.7,640,cnn,6.905148100000588,20.951159700000062,2.149857600001269,0.4949480000013864,0.5649,0.6203125,0.05541250000000009,6400,5120,1280
diffusion_dp,0.7,640,resnet20,6.905148100000588,126.28388079999968,6.259344299998702,0.8199337999994896,0.5518,0.590625,0.038825,6400,5120,1280
diffusion_dp,1.0,640,cnn,4.7534126000009564,22.56443339999896,2.0981560000000172,0.2797348999993119,0.5765,0.61484375,0.03834375000000001,6400,5120,1280
diffusion_dp,1.0,640,resnet20,4.7534126000009564,138.3281895,6.934292899999491,0.861020099999223,0.5504,0.57890625,0.028506249999999955,6400,5120,1280
diffusion_dp,1.5,640,cnn,5.418784600000436,25.7678906000001,2.263022600000113,0.26837309999973513,0.5782,0.59296875,0.014768749999999997,6400,5120,1280
diffusion_dp,1.5,640,resnet20,5.418784600000436,136.60937130000093,6.547421999999642,0.81206740000016,0.5545,0.59140625,0.03690625000000003,6400,5120,1280
diffusion_dp,2.0,640,cnn,5.203882399999202,22.10922860000028,2.08862980000049,0.25989190000109375,0.5713,0.60234375,0.031043749999999926,6400,5120,1280
diffusion_dp,2.0,640,resnet20,5.203882399999202,142.3795240999989,9.468630800000028,1.0260923999994702,0.5402,0.58515625,0.04495625000000003,6400,5120,1280
diffusion_dp,0.7,1000,cnn,6.910383300000831,39.277561299999434,2.221308299998782,0.4151653000008082,0.5989,0.6435,0.04459999999999997,10000,8000,2000
diffusion_dp,0.7,1000,resnet20,6.910383300000831,246.97165640000094,6.545308800003113,1.348023499998817,0.5968,0.67,0.07320000000000004,10000,8000,2000
diffusion_dp,1.0,1000,cnn,6.8826795000022685,36.46883140000136,2.089805100000376,0.4094132999998692,0.614,0.6655,0.05149999999999999,10000,8000,2000
diffusion_dp,1.0,1000,resnet20,6.8826795000022685,213.05126449999807,6.610123399997974,1.291035500002181,0.6073,0.6655,0.05820000000000003,10000,8000,2000
diffusion_dp,1.5,1000,cnn,6.569462899999053,37.2491211000015,2.0732951999998477,0.402989999998681,0.6112,0.6615,0.05030000000000001,10000,8000,2000
diffusion_dp,1.5,1000,resnet20,6.569462899999053,213.2022883000027,6.657773899998574,1.2966357000004791,0.5847,0.644,0.05930000000000002,10000,8000,2000
diffusion_dp,2.0,1000,cnn,6.592406600000686,37.21725249999872,2.2629266000003554,0.42914680000103544,0.6033,0.657,0.05370000000000008,10000,8000,2000
diffusion_dp,2.0,1000,resnet20,6.592406600000686,219.2570682000005,6.772029100000509,1.434181799999351,0.6108,0.667,0.05620000000000003,10000,8000,2000
