dataset,method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,generalization_gap,synthetic_images,synthetic_train_images,synthetic_eval_images
cifar10,diffusion_dp,0.7,640,cnn,6.905148100000588,20.951159700000066,2.149857600001269,0.4949480000013864,0.5649,0.6203125,0.0554125,6400,5120,1280
cifar10,diffusion_dp,0.7,640,resnet20,6.905148100000588,126.28388079999968,6.259344299998702,0.8199337999994896,0.5518,0.590625,0.038825,6400,5120,1280
cifar10,diffusion_dp,1.0,640,cnn,4.7534126000009564,22.56443339999896,2.098156000000017,0.2797348999993119,0.5765,0.61484375,0.03834375,6400,5120,1280
cifar10,diffusion_dp,1.0,640,resnet20,4.7534126000009564,138.3281895,6.934292899999491,0.861020099999223,0.5504,0.57890625,0.0285062499999999,6400,5120,1280
cifar10,diffusion_dp,1.5,640,cnn,5.418784600000436,25.7678906000001,2.263022600000113,0.2683730999997351,0.5782,0.59296875,0.0147687499999999,6400,5120,1280
cifar10,diffusion_dp,1.5,640,resnet20,5.418784600000436,136.60937130000093,6.547421999999642,0.81206740000016,0.5545,0.59140625,0.03690625,6400,5120,1280
cifar10,diffusion_dp,2.0,640,cnn,5.203882399999202,22.10922860000028,2.08862980000049,0.2598919000010937,0.5713,0.60234375,0.0310437499999999,6400,5120,1280
cifar10,diffusion_dp,2.0,640,resnet20,5.203882399999202,142.3795240999989,9.468630800000028,1.0260923999994702,0.5402,0.58515625,0.04495625,6400,5120,1280
cifar10,diffusion_dp,0.7,1000,cnn,6.910383300000831,39.27756129999944,2.221308299998782,0.4151653000008082,0.5989,0.6435,0.0445999999999999,10000,8000,2000
cifar10,diffusion_dp,0.7,1000,resnet20,6.910383300000831,246.9716564000009,6.545308800003113,1.348023499998817,0.5968,0.67,0.0732,10000,8000,2000
cifar10,diffusion_dp,1.0,1000,cnn,6.8826795000022685,36.46883140000136,2.089805100000376,0.4094132999998692,0.614,0.6655,0.0514999999999999,10000,8000,2000
cifar10,diffusion_dp,1.0,1000,resnet20,6.8826795000022685,213.05126449999807,6.610123399997974,1.291035500002181,0.6073,0.6655,0.0582,10000,8000,2000
cifar10,diffusion_dp,1.5,1000,cnn,6.569462899999053,37.2491211000015,2.073295199999848,0.402989999998681,0.6112,0.6615,0.0503,10000,8000,2000
cifar10,diffusion_dp,1.5,1000,resnet20,6.569462899999053,213.2022883000027,6.657773899998574,1.2966357000004791,0.5847,0.644,0.0593,10000,8000,2000
cifar10,diffusion_dp,2.0,1000,cnn,6.592406600000686,37.21725249999872,2.2629266000003554,0.4291468000010354,0.6033,0.657,0.0537,10000,8000,2000
cifar10,diffusion_dp,2.0,1000,resnet20,6.592406600000686,219.2570682000005,6.772029100000509,1.434181799999351,0.6108,0.667,0.0562,10000,8000,2000
mnist,diffusion_dp,0.3,640,cnn,4.691940900000191,24.35570730000109,2.4202866000014183,0.2672585000000254,0.97725,0.97890625,0.00165625,6400,5120,1280
mnist,diffusion_dp,0.3,640,resnet20,4.691940900000191,140.4544930000011,7.909624300002179,0.7967091999998956,0.9860833333333332,0.98359375,-0.0024895833333332,6400,5120,1280
mnist,diffusion_dp,0.5,640,cnn,5.070535899998504,23.07770210000308,2.527498500003276,0.342742900000303,0.9783333333333334,0.97890625,0.0005729166666665,6400,5120,1280
mnist,diffusion_dp,0.5,640,resnet20,5.070535899998504,137.9268622999989,7.99149480000051,0.7893173999982537,0.98725,0.9890625,0.0018124999999999,6400,5120,1280
mnist,diffusion_dp,0.7,640,cnn,5.317918500000815,22.786727099999556,2.396920000002865,0.2581322000005457,0.9790833333333332,0.97578125,-0.0033020833333332,6400,5120,1280
mnist,diffusion_dp,0.7,640,resnet20,5.317918500000815,142.31904450000002,8.038800400001492,0.9241703000006964,0.9865833333333334,0.98828125,0.0016979166666666,6400,5120,1280
