method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images
dp,0.1,40,resnet20,0.01277979999940726,10.267135800000688,5.910366800002521,0.2534808000018529,0.1154,0.9025,400
dp,0.5,40,resnet20,0.017702500001178123,8.860703199999989,5.389364700000442,0.2275219000002835,0.2056,0.585,400
dp,1.0,40,resnet20,0.01906579999922542,9.108180399998673,6.039390699999785,0.24379310000222176,0.1859,0.315,400
diffusion_dp,0.1,40,resnet20,0.35958949999985634,10.563055099999474,6.334765100000368,0.285036699999182,0.1412,0.3025,400
diffusion_dp,0.5,40,resnet20,0.3296568000005209,8.983063699997729,6.439802000000782,0.23811570000179927,0.2389,0.5225,400
diffusion_dp,1.0,40,resnet20,0.3775333000012324,10.874501399997826,6.949548299999151,0.24689999999827705,0.2635,0.525,400
dp,0.1,80,resnet20,0.03850080000120215,20.76963219999743,7.246374900001683,0.6245677999977488,0.1213,1.0,800
dp,0.5,80,resnet20,0.04208989999824553,20.449946900000214,6.672193599999446,0.5284484000003431,0.2483,0.93875,800
dp,1.0,80,resnet20,0.04324089999863645,20.8986436999985,6.374930400001176,0.5364774000008765,0.22,0.6575,800
diffusion_dp,0.1,80,resnet20,0.6584154999982275,20.721337999999378,6.9886635999973805,0.647547399999894,0.2905,0.96375,800
diffusion_dp,0.5,80,resnet20,1.463565900001413,27.571359499997925,9.786625799999456,1.2252674999981537,0.3187,0.63375,800
diffusion_dp,1.0,80,resnet20,0.7597892999983742,36.9160000999982,8.021104999999807,0.6444176999975753,0.2856,0.64375,800
dp,0.1,160,resnet20,0.07182319999992615,66.14380199999869,7.841759799997817,1.241799400002492,0.1529,0.999375,1600
dp,0.5,160,resnet20,0.06408419999934267,50.53455010000107,7.951064500000939,1.247514400001819,0.3165,0.831875,1600
dp,1.0,160,resnet20,0.07652729999972507,48.91382359999989,6.06260580000162,1.132223000000522,0.3227,0.703125,1600
diffusion_dp,0.1,160,resnet20,1.3441748000004736,56.728874299999006,18.40443669999877,1.8386929999978747,0.1903,0.5875,1600
diffusion_dp,0.5,160,resnet20,1.471589499997208,82.30083119999836,13.35125060000064,1.6005043999975896,0.3394,0.72125,1600
diffusion_dp,1.0,160,resnet20,1.3453067000009469,51.110721599998215,6.883782199998677,1.2639480000034382,0.3718,0.7575,1600
